time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
3.270000000000000018e+00,3.005387485027313232e-01,1.310432434082031250e+00,1.890827417373657227e-01,2.714993432164192200e-03
3.280000000000000249e+00,3.000516295433044434e-01,1.310011625289916992e+00,1.895652562379837036e-01,2.727603539824485779e-03
3.290000000000000036e+00,2.995648086071014404e-01,1.309591531753540039e+00,1.900469809770584106e-01,2.740287221968173981e-03
3.300000000000000266e+00,2.990784943103790283e-01,1.309171795845031738e+00,1.905280053615570068e-01,2.753087319433689117e-03
3.310000000000000053e+00,2.985925972461700439e-01,1.308753490447998047e+00,1.910079419612884521e-01,2.765755169093608856e-03
3.320000000000000284e+00,2.981073558330535889e-01,1.308336138725280762e+00,1.914872378110885620e-01,2.778482623398303986e-03
3.330000000000000071e+00,2.976224124431610107e-01,1.307919263839721680e+00,1.919657438993453979e-01,2.791276201605796814e-03
3.339999999999999858e+00,2.971379160881042480e-01,1.307503223419189453e+00,1.924434155225753784e-01,2.804077230393886566e-03
3.350000000000000089e+00,2.966539263725280762e-01,1.307088255882263184e+00,1.929202526807785034e-01,2.816674299538135529e-03
3.359999999999999876e+00,2.961704432964324951e-01,1.306674003601074219e+00,1.933961361646652222e-01,2.829620614647865295e-03
3.370000000000000107e+00,2.956872880458831787e-01,1.306260108947753906e+00,1.938713341951370239e-01,2.842379733920097351e-03
3.379999999999999893e+00,2.952046692371368408e-01,1.305847525596618652e+00,1.943454891443252563e-01,2.855009399354457855e-03
3.390000000000000124e+00,2.947224676609039307e-01,1.305435299873352051e+00,1.948190331459045410e-01,2.868058159947395325e-03
3.399999999999999911e+00,2.942408919334411621e-01,1.305024385452270508e+00,1.952914595603942871e-01,2.880725078284740448e-03
3.410000000000000142e+00,2.937596142292022705e-01,1.304614067077636719e+00,1.957632750272750854e-01,2.893521450459957123e-03
3.419999999999999929e+00,2.932789921760559082e-01,1.304204463958740234e+00,1.962341666221618652e-01,2.906295470893383026e-03
3.430000000000000160e+00,2.927987873554229736e-01,1.303795576095581055e+00,1.967040598392486572e-01,2.919083461165428162e-03
3.439999999999999947e+00,2.923192679882049561e-01,1.303387999534606934e+00,1.971731036901473999e-01,2.931986004114151001e-03
3.450000000000000178e+00,2.918399870395660400e-01,1.302980780601501465e+00,1.976413577795028687e-01,2.944780513644218445e-03
3.459999999999999964e+00,2.913613319396972656e-01,1.302574753761291504e+00,1.981087476015090942e-01,2.957714721560478210e-03
3.470000000000000195e+00,2.908830344676971436e-01,1.302168965339660645e+00,1.985751688480377197e-01,2.970481291413307190e-03
3.479999999999999982e+00,2.904053628444671631e-01,1.301764726638793945e+00,1.990407407283782959e-01,2.983232028782367706e-03
3.490000000000000213e+00,2.899282276630401611e-01,1.301360964775085449e+00,1.995054632425308228e-01,2.996088005602359772e-03
3.500000000000000000e+00,2.894515097141265869e-01,1.300957560539245605e+00,1.999692469835281372e-01,3.009018488228321075e-03
3.510000000000000231e+00,2.889755070209503174e-01,1.300555586814880371e+00,2.004321068525314331e-01,3.021855838596820831e-03
3.520000000000000018e+00,2.884998023509979248e-01,1.300154209136962891e+00,2.008941918611526489e-01,3.034703433513641357e-03
3.530000000000000249e+00,2.880247533321380615e-01,1.299753665924072266e+00,2.013552188873291016e-01,3.047523088753223419e-03
3.540000000000000036e+00,2.875500619411468506e-01,1.299353718757629395e+00,2.018154710531234741e-01,3.060268238186836243e-03
3.550000000000000266e+00,2.870760560035705566e-01,1.298954844474792480e+00,2.022747546434402466e-01,3.073127940297126770e-03
3.560000000000000053e+00,2.866025865077972412e-01,1.298556923866271973e+00,2.027330696582794189e-01,3.086036071181297302e-03
3.570000000000000284e+00,2.861294448375701904e-01,1.298159360885620117e+00,2.031906396150588989e-01,3.098696470260620117e-03
